,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1389006443605602308,1389006352303935493,2021-05-03 05:28:37 India Standard Time,2021-05-03,05:28:37,530,1012683233618690049,muneebrau,Muhammad Muneeb Abdul Rauf,,#appeal #helpus #needsupport #herosofpakistan #frontlinesoldiersofhumanity #rashandrive #foodshortage #helpingothers #helpwanted #donation #ngo #orphanage  #donatenow #ramzan #karachi #pakistan #humanity #needhelp #urgentdonationrequired #zakat #COVID19 #coronavirus  https://t.co/msrHHdhN44,und,[],[],"['https://pbs.twimg.com/media/E0a9_JdX0AAFPFW.jpg', 'https://pbs.twimg.com/media/E0a9_bLWYAEYVF_.jpg', 'https://pbs.twimg.com/media/E0a9_nEWYAgrYAd.jpg', 'https://pbs.twimg.com/media/E0a9_5yWYAU27ct.jpg']",1,0,0,"['appeal', 'helpus', 'needsupport', 'herosofpakistan', 'frontlinesoldiersofhumanity', 'rashandrive', 'foodshortage', 'helpingothers', 'helpwanted', 'donation', 'ngo', 'orphanage', 'donatenow', 'ramzan', 'karachi', 'pakistan', 'humanity', 'needhelp', 'urgentdonationrequired', 'zakat', 'covid19', 'coronavirus']",[],https://twitter.com/muneebrau/status/1389006443605602308,False,,1,https://pbs.twimg.com/media/E0a9_JdX0AAFPFW.jpg,India,,,,,,[],,,,
1,1388974195145650179,1388974195145650179,2021-05-03 03:20:28 India Standard Time,2021-05-03,03:20:28,530,4350706876,alidurrani88,Alidurrani,,"The corona virus has a possible 39,000 RNA mutations. The world has only seen 153 so far. Practice social distancing and keep your face masks on. #COVIDisAirborne #Covid_19",en,[],[],[],0,0,2,"['covidisairborne', 'covid_19']",[],https://twitter.com/alidurrani88/status/1388974195145650179,False,,0,,India,,,,,,[],,,,
2,1388970818579820545,1388970818579820545,2021-05-03 03:07:03 India Standard Time,2021-05-03,03:07:03,530,56678425,drkaushiksuresh,Dr. Suresh Kaushik,,Second wave of coronavirus infection in India by new variant of double mutant B.1.617  https://t.co/xuMMbohior,en,[],['https://wp.me/p84FZE-yo'],[],0,0,0,[],[],https://twitter.com/DrKaushikSuresh/status/1388970818579820545,False,,0,,India,,,,,,[],,,,
3,1388967920227606528,1388967920227606528,2021-05-03 02:55:32 India Standard Time,2021-05-03,02:55:32,530,1250301852903596032,sohailmalik462,Sohail Malik💎,,BBC News - India coronavirus: New record deaths as virus engulfs India  https://t.co/jYpHJ58kJC #coronavirus,en,[],['https://www.bbc.co.uk/news/world-asia-india-56961940'],[],0,0,0,['coronavirus'],[],https://twitter.com/Sohailmalik462/status/1388967920227606528,False,,0,,India,,,,,,[],,,,
4,1388964963784425473,1388964963784425473,2021-05-03 02:43:47 India Standard Time,2021-05-03,02:43:47,530,888699061301379072,srishtikumaris6,Srishti kumari Singh,,#Trending #viralpic #AajTak #news #NewsAlert #newfashion #coronavirus #unite2fightcorona  https://t.co/6YAN3a1qN5,und,[],[],['https://pbs.twimg.com/media/E0aYReRUYAEX7Op.jpg'],0,0,1,"['trending', 'viralpic', 'aajtak', 'news', 'newsalert', 'newfashion', 'coronavirus', 'unite2fightcorona']",[],https://twitter.com/SrishtikumariS6/status/1388964963784425473,False,,1,https://pbs.twimg.com/media/E0aYReRUYAEX7Op.jpg,India,,,,,,[],,,,
5,1388961375897088003,1388961375897088003,2021-05-03 02:29:32 India Standard Time,2021-05-03,02:29:32,530,1053485738954698752,bjp_bihar_,BJP,,wear a mask and sanitize your hands and maintain social distancing #COVIDSecondWaveInIndia #COVIDEmergency #coronavirus,en,[],[],[],0,0,1,"['covidsecondwaveinindia', 'covidemergency', 'coronavirus']",[],https://twitter.com/BJP_BIHAR_/status/1388961375897088003,False,,0,,India,,,,,,[],,,,
6,1388955846139256833,1388955846139256833,2021-05-03 02:07:33 India Standard Time,2021-05-03,02:07:33,530,444847530,sasmitchandan,Sasmit Chandan🇮🇳,,BBC News - India coronavirus: New record deaths as virus engulfs India  https://t.co/HpTGBrGE3K,en,[],['https://www.bbc.co.uk/news/world-asia-india-56961940'],[],0,0,0,[],[],https://twitter.com/sasmitchandan/status/1388955846139256833,False,,0,,India,,,,,,[],,,,
7,1388952464573960201,1388952464573960201,2021-05-03 01:54:07 India Standard Time,2021-05-03,01:54:07,530,1329149887347388419,medicineallino1,Medicine All In One,,"Are you okay? No, i just want a Covid free world please  #Covid_19 #coronavirus",en,[],[],[],0,0,0,"['covid_19', 'coronavirus']",[],https://twitter.com/MedicineAllInO1/status/1388952464573960201,False,,0,,India,,,,,,[],,,,
8,1388949443941003269,1388949443941003269,2021-05-03 01:42:07 India Standard Time,2021-05-03,01:42:07,530,1388546115964866560,mithisi69571488,Mithi Singh,,Pray for India ......  #CovidHelp #CoronavirusIndia #coronavirus #CoronaVaccine #help #Helpless #IndiaFightsCorona #India #WritingCommunity #Writers #Trending  https://t.co/ibk6JUKw9R,en,[],[],['https://pbs.twimg.com/media/E0aKJNyVUAYWfMI.jpg'],0,0,2,"['covidhelp', 'coronavirusindia', 'coronavirus', 'coronavaccine', 'help', 'helpless', 'indiafightscorona', 'india', 'writingcommunity', 'writers', 'trending']",[],https://twitter.com/MithiSi69571488/status/1388949443941003269,False,,1,https://pbs.twimg.com/media/E0aKJNyVUAYWfMI.jpg,India,,,,,,[],,,,
9,1388946045778862081,1388946045778862081,2021-05-03 01:28:37 India Standard Time,2021-05-03,01:28:37,530,1388546115964866560,mithisi69571488,Mithi Singh,,Childrens are gift of god help them for their education not for begging....  #help #PrayForIndia #COVIDSecondWaveInIndia #CoronaPandemic #coronavirus #CHATTISHGARH #SocialMedia #SocialDistancing #SocialWorkTwitter #StayHome #socialwork #bhilai#education  #StaySafe #StayHome  https://t.co/DPQb8UDs3B,en,[],[],['https://pbs.twimg.com/media/E0aHDoCVkAgOywd.jpg'],0,0,2,"['help', 'prayforindia', 'covidsecondwaveinindia', 'coronapandemic', 'coronavirus', 'chattishgarh', 'socialmedia', 'socialdistancing', 'socialworktwitter', 'stayhome', 'socialwork', 'staysafe', 'stayhome']",[],https://twitter.com/MithiSi69571488/status/1388946045778862081,False,,1,https://pbs.twimg.com/media/E0aHDoCVkAgOywd.jpg,India,,,,,,[],,,,
