,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1421964811877879808,1421964811877879808,2021-08-02 04:13:24 India Standard Time,2021-08-02,04:13:24,530,1374317788383301636,alidehghani78,عَلیوک,,برای روز تست کرونام که منفی بشه لحظه شماری می کنم... خدایا چرا این روزا تموم نمیشه من که خوبم 😔😔😔😔  #کرونا #کویید #COVID19  #coronavirus  https://t.co/u04nPojuWM,fa,[],[],['https://pbs.twimg.com/media/E7vVdZZWQAolVU_.jpg'],0,0,1,"['کرونا', 'کویید', 'covid19', 'coronavirus']",[],https://twitter.com/alidehghani78/status/1421964811877879808,False,,1,https://pbs.twimg.com/media/E7vVdZZWQAolVU_.jpg,India,,,,,,[],,,,
1,1421926321815392256,1421926321815392256,2021-08-02 01:40:27 India Standard Time,2021-08-02,01:40:27,530,1156615494402748416,pstgwara,Pst Austin Dubai Altar,,"If the words of the tongue of these two Mightiest Mightiest Prophets of Jehovah Yahweh can shut the earth with corona virus, then as the wise church we ought to listen to the counsel they give about eternity, because they’re from heaven #TheLatterAnointing",en,[],[],[],0,1,3,['thelatteranointing'],[],https://twitter.com/PstGwara/status/1421926321815392256,False,,0,,India,,,,,,[],,,,
2,1421919159538028550,1421919159538028550,2021-08-02 01:12:00 India Standard Time,2021-08-02,01:12:00,530,1246323086179344384,angainelulu,Mary Angaine Lulu,,"In Heaven they shall be no: Sickness, mourning, sorrow, sadness, coronavirus, all this will not be there when church enters Heaven. That is why the church looks forward to the coming of the Messiah! We shall only worship God the Father. #TheLatterAnointing",en,[],[],[],0,0,4,['thelatteranointing'],[],https://twitter.com/AngaineLulu/status/1421919159538028550,False,,0,,India,,,,,,[],,,,
3,1421915767923167242,1421915767923167242,2021-08-02 00:58:31 India Standard Time,2021-08-02,00:58:31,530,2800430179,engrmayyaz1,Engr M.Ayyaz,,395 people test positive for coronavirus today in Islamabad; positivity rate at 10.66%. @dcislamabad @hamzashafqaat  Dil Dil Pakistan ❤️❤️❤️  https://t.co/GAVSUwI8Yp,en,"[{'screen_name': 'dcislamabad', 'name': 'office of deputy commissioner islamabad', 'id': '153032033'}, {'screen_name': 'hamzashafqaat', 'name': 'muhammed hamza shafqaat', 'id': '1061150305738481670'}]",[],[],0,1,3,[],[],https://twitter.com/EngrMAyyaz1/status/1421915767923167242,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1421914703115259905/pu/img/jm7-CoFIRdE1nMcT.jpg,India,,,,,,[],,,,
4,1421912780102193157,1380115525670301698,2021-08-02 00:46:39 India Standard Time,2021-08-02,00:46:39,530,1417472248613539841,baskara49033078,Baskaran D,,@yoursanjali Your don't for the covid-19 test. Corona virus lies.,en,[],[],[],0,0,0,[],[],https://twitter.com/Baskara49033078/status/1421912780102193157,False,,0,,India,,,,,,"[{'screen_name': 'yoursanjali', 'name': 'Anjali', 'id': '3003082646'}]",,,,
5,1421881887526592514,1421801794380861443,2021-08-01 22:43:53 India Standard Time,2021-08-01,22:43:53,530,2160300158,akiftaqvi,Faroghe Ahsan,,@Rekhta Fehrist hai taveel mere doston ki par Aatey nahi hain milne bhi do-chaar in dino #FriendshipDay #FriendshipDay2021 #coronavirus #SocialDistancing #UrduPoetry #shayri,hi,[],[],[],0,0,0,"['friendshipday', 'friendshipday2021', 'coronavirus', 'socialdistancing', 'urdupoetry', 'shayri']",[],https://twitter.com/akiftaqvi/status/1421881887526592514,False,,0,,India,,,,,,"[{'screen_name': 'Rekhta', 'name': 'Rekhta', 'id': '598524600'}]",,,,
6,1421866420552359943,1421866420552359943,2021-08-01 21:42:26 India Standard Time,2021-08-01,21:42:26,530,1329353670069108738,jehlamtimes,Jehlam Times,,"JK reports 145 new positive cases, 316017 recovered so far  #SRINAGAR: The Government on Sunday informed that145 new positive cases of novel Corona virus (COVID-19), 48 from Jammu division and 97 from Kashmir division.  https://t.co/iuthlab9Fm",en,[],[],['https://pbs.twimg.com/media/E7t7-RsVUAAQKVU.jpg'],0,0,0,['srinagar'],[],https://twitter.com/JehlamTimes/status/1421866420552359943,False,,1,https://pbs.twimg.com/media/E7t7-RsVUAAQKVU.jpg,India,,,,,,[],,,,
7,1421857169805242368,1421857169805242368,2021-08-01 21:05:40 India Standard Time,2021-08-01,21:05:40,530,1051420195489689600,bp8kf3czya1puye,இசலானி தா பாண்டி,,உள்நாட்டில் தயாரிக்காமல் மேலை நாடுகளில்  ராணுவ தளவாடங்களை வாங்கி குவிக்கும் நாடு ஒரு போதும் வல்லரசாக முடியாது.  #coronavirus  https://t.co/VlX6qG11Kw,ta,[],[],['https://pbs.twimg.com/media/E7tzj1QVEAAoYES.jpg'],0,0,0,['coronavirus'],[],https://twitter.com/bP8KF3cZyA1Puye/status/1421857169805242368,False,,1,https://pbs.twimg.com/media/E7tzj1QVEAAoYES.jpg,India,,,,,,[],,,,
8,1421846689682501633,1421808708473036801,2021-08-01 20:24:02 India Standard Time,2021-08-01,20:24:02,530,1339163747991089154,muhamma87429851,Muhammad Imran,,@AmnaAkram456 Bibi apko coronavirus ho giya h,in,[],[],[],1,0,1,[],[],https://twitter.com/Muhamma87429851/status/1421846689682501633,False,,0,,India,,,,,,[],,,,
9,1421843669435392005,1421843669435392005,2021-08-01 20:12:02 India Standard Time,2021-08-01,20:12:02,530,1112965309663653890,chellam73628887,soundirarajan,,Coronavirus marriages home marriage small group marriages and low budget cost marriage  https://t.co/AobZDexeao,en,[],[],"['https://pbs.twimg.com/media/E7tnPyiUUAEgzWS.jpg', 'https://pbs.twimg.com/media/E7tnQSIVoAkKUMM.jpg', 'https://pbs.twimg.com/media/E7tnQdHVgAoL33N.jpg', 'https://pbs.twimg.com/media/E7tnRayVUAU5uja.jpg']",0,0,0,[],[],https://twitter.com/chellam73628887/status/1421843669435392005,False,,1,https://pbs.twimg.com/media/E7tnPyiUUAEgzWS.jpg,India,,,,,,[],,,,
